L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V3_MAE_Acc,Scenario
40%,4,38,4C x 38K,20%,1,22,1C x 22K,0.0,0.0,Custom_Simulation
40%,4,38,4C x 38K,20%,1,26,1C x 26K,0.0,0.0,Custom_Simulation
40%,4,38,4C x 38K,20%,1,30,1C x 30K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,40%,4,15,4C x 15K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,40%,3,19,3C x 19K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,40%,3,23,3C x 23K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,40%,2,30,2C x 30K,0.0,0.0,Custom_Simulation
40%,4,38,4C x 38K,40%,2,34,2C x 34K,0.0,0.0,Custom_Simulation
40%,4,38,4C x 38K,40%,2,38,2C x 38K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,60%,4,22,4C x 22K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,60%,4,25,4C x 25K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,60%,3,28,3C x 28K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,60%,3,32,3C x 32K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,60%,3,35,3C x 35K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,60%,2,38,2C x 38K,0.0,0.0,Custom_Simulation
40%,4,38,4C x 38K,80%,4,30,4C x 30K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,80%,4,32,4C x 32K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,80%,4,33,4C x 33K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,80%,3,35,3C x 35K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,80%,3,36,3C x 36K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,80%,3,38,3C x 38K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,100%,4,38,4C x 38K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,100%,4,38,4C x 38K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,100%,4,38,4C x 38K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,100%,4,38,4C x 38K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,100%,4,38,4C x 38K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,100%,4,38,4C x 38K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,20%,3,9,3C x 9K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,20%,2,12,2C x 12K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,20%,2,16,2C x 16K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,20%,1,20,1C x 20K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,20%,1,24,1C x 24K,0.0,0.0,Custom_Simulation
40%,3,46,3C x 46K,20%,1,27,1C x 27K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,40%,3,18,3C x 18K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,40%,2,23,2C x 23K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,40%,2,28,2C x 28K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,40%,2,36,2C x 36K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,40%,1,41,1C x 41K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,40%,1,46,1C x 46K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,60%,3,27,3C x 27K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,60%,3,30,3C x 30K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,60%,2,34,2C x 34K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,60%,2,39,2C x 39K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,60%,2,43,2C x 43K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,60%,2,46,2C x 46K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,80%,3,36,3C x 36K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,80%,3,38,3C x 38K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,80%,3,40,3C x 40K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,80%,3,42,3C x 42K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,80%,2,44,2C x 44K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,80%,2,46,2C x 46K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,100%,3,46,3C x 46K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,100%,3,46,3C x 46K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,100%,3,46,3C x 46K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,100%,3,46,3C x 46K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,100%,3,46,3C x 46K,0.0,100.0,Custom_Simulation
40%,3,46,3C x 46K,100%,3,46,3C x 46K,0.0,100.0,Custom_Simulation
40%,3,59,3C x 59K,20%,3,11,3C x 11K,0.0,0.0,Custom_Simulation
40%,3,59,3C x 59K,20%,2,15,2C x 15K,0.0,0.0,Custom_Simulation
40%,3,59,3C x 59K,20%,2,20,2C x 20K,0.0,0.0,Custom_Simulation
40%,3,59,3C x 59K,20%,1,26,1C x 26K,0.0,100.0,Custom_Simulation
40%,3,59,3C x 59K,20%,1,31,1C x 31K,0.0,0.0,Custom_Simulation
40%,3,59,3C x 59K,20%,1,35,1C x 35K,0.0,100.0,Custom_Simulation
40%,3,59,3C x 59K,40%,3,23,3C x 23K,0.0,100.0,Custom_Simulation
40%,3,59,3C x 59K,40%,2,30,2C x 30K,0.0,0.0,Custom_Simulation
40%,3,59,3C x 59K,40%,2,36,2C x 36K,0.0,100.0,Custom_Simulation
40%,3,59,3C x 59K,40%,2,46,2C x 46K,0.0,100.0,Custom_Simulation
40%,3,59,3C x 59K,40%,1,52,1C x 52K,0.0,100.0,Custom_Simulation
40%,3,59,3C x 59K,40%,1,59,1C x 59K,0.0,0.0,Custom_Simulation
40%,3,59,3C x 59K,60%,3,35,3C x 35K,0.0,100.0,Custom_Simulation
40%,3,59,3C x 59K,60%,3,39,3C x 39K,0.0,100.0,Custom_Simulation
40%,3,59,3C x 59K,60%,2,44,2C x 44K,0.0,100.0,Custom_Simulation
40%,3,59,3C x 59K,60%,2,50,2C x 50K,0.0,100.0,Custom_Simulation
40%,3,59,3C x 59K,60%,2,55,2C x 55K,0.0,100.0,Custom_Simulation
40%,3,59,3C x 59K,60%,2,59,2C x 59K,0.0,100.0,Custom_Simulation
40%,3,59,3C x 59K,80%,3,47,3C x 47K,0.0,100.0,Custom_Simulation
40%,3,59,3C x 59K,80%,3,49,3C x 49K,0.0,100.0,Custom_Simulation
40%,3,59,3C x 59K,80%,3,51,3C x 51K,0.0,100.0,Custom_Simulation
40%,3,59,3C x 59K,80%,3,55,3C x 55K,0.0,100.0,Custom_Simulation
40%,3,59,3C x 59K,80%,2,57,2C x 57K,0.0,100.0,Custom_Simulation
40%,3,59,3C x 59K,80%,2,59,2C x 59K,0.0,100.0,Custom_Simulation
40%,3,59,3C x 59K,100%,3,59,3C x 59K,0.0,100.0,Custom_Simulation
40%,3,59,3C x 59K,100%,3,59,3C x 59K,0.0,100.0,Custom_Simulation
40%,3,59,3C x 59K,100%,3,59,3C x 59K,0.0,100.0,Custom_Simulation
40%,3,59,3C x 59K,100%,3,59,3C x 59K,0.0,100.0,Custom_Simulation
